current_symbol	submitted_item	validated_id	FBID_KEY	ANNOTATION_SYMBOL	LOCATION_ARM	LOCATION_MAX	LOCATION_MIN	LOCATION_STRAND	NAME	SYMBOL
ACC	ACC	FBgn0033246	FBgn0033246	CG11198	2R	7991862	7974115	-1	Acetyl-CoA carboxylase	ACC
ACOX1	CG5009	FBgn0027572	FBgn0027572	CG5009	2R	17764541	17760940	1	acyl-CoA oxidase 1	ACOX1
ACXB	ACXB	FBgn0040509	FBgn0040509	CG17174	2L	12921008	12916814	1	Adenylyl cyclase X B	ACXB
ACXC	ACXC	FBgn0040508	FBgn0040508	CG5983	2L	12916774	12912530	1	Adenylyl cyclase X C	ACXC
ACXD	ACXD	FBgn0040507	FBgn0040507	CG5712	3L	2243719	2237608	1	Adenylyl cyclase X D	ACXD
ADD1	ADD1	FBgn0026573	FBgn0026573	CG8290	2R	11977721	11970686	1	ADD domain-containing protein 1	ADD1
AGBE	AGBE	FBgn0053138	FBgn0053138	CG33138	2R	13174796	13171401	1	1,4-Alpha-Glucan Branching Enzyme	AGBE
AGO2	AGO2	FBgn0087035	FBgn0087035	CG7439	3L	15561042	15554113	1	Argonaute 2	AGO2
AGO3	AGO3	FBgn0250816	FBgn0250816	CG40300	3L	23689640	23554593	1	Argonaute 3	AGO3
AIF	AIF	FBgn0031392	FBgn0031392	CG7263	2L	2155389	2151754	1	Apoptosis inducing factor	AIF
AIMP1	AIMP1	FBgn0033351	FBgn0033351	CG8235	2R	8928105	8927014	-1	aaRS-interacting multifunctional protein 1	AIMP1
AIMP2	AIMP2	FBgn0036515	FBgn0036515	CG12304	3L	15585347	15583638	1	aaRS-interacting multifunctional protein 2	AIMP2
AIMP3	AIMP3	FBgn0050185	FBgn0050185	CG30185	2R	23544901	23544024	1	aaRS-interacting multifunctional protein 3	AIMP3
ALiX	ALiX	FBgn0086346	FBgn0086346	CG12876	3R	27700110	27696466	-1	ALG-2 interacting protein X	ALiX
AMPKalpha	AMPKalpha	FBgn0023169	FBgn0023169	CG3051	X	1378896	1375536	1	AMP-activated protein kinase alpha subunit	AMPKalpha
AMPdeam	AMPdeam	FBgn0052626	FBgn0052626	CG32626	X	13845866	13830741	-1	AMP deaminase	AMPdeam
AOX1	AOX1	FBgn0267408	FBgn0267408	CG18522	3R	15537292	15532137	-1	Aldehyde oxidase 1	AOX1
AOX2	AOX2	FBgn0038348	FBgn0038348	CG18519	3R	15542414	15537713	-1	Aldehyde oxidase 2	AOX2
AOX3	AOX3	FBgn0038349	FBgn0038349	CG6045	3R	15548188	15542748	-1	Aldehyde oxidase 3	AOX3
AOX4	AOX4	FBgn0038350	FBgn0038350	CG18516	3R	15552833	15548628	-1	Aldehyde oxidase 4	AOX4
AP-1-2beta	AP-1-2beta	FBgn0010380	FBgn0010380	CG12532	X	19734581	19731004	1	Adaptor Protein complex 1/2, beta subunit	AP-1-2beta
AP-1gamma	AP-1gamma	FBgn0030089	FBgn0030089	CG9113	X	9117744	9108691	1	Adaptor Protein complex 1, gamma subunit	AP-1gamma
AP-1mu	AP-1mu	FBgn0024833	FBgn0024833	CG9388	3R	9559525	9557712	-1	Adaptor Protein complex 1, mu subunit	AP-1mu
AP-1sigma	AP-1sigma	FBgn0039132	FBgn0039132	CG5864	3R	23962555	23958651	1	Adaptor Protein complex 1, sigma subunit	AP-1sigma
AP-2mu	AP-2mu	FBgn0263351	FBgn0263351	CG7057	3R	22464603	22462455	1	Adaptor Protein complex 2, mu subunit	AP-2mu
AP-2sigma	AP-2sigma	FBgn0043012	FBgn0043012	CG6056	3R	21270075	21269209	-1	Adaptor Protein complex 2, sigma subunit	AP-2sigma
APC10	APC10	FBgn0034231	FBgn0034231	CG11419	2R	17518186	17517261	-1	Anaphase Promoting Complex subunit 10	APC10
APC4	APC4	FBgn0052707	FBgn0052707	CG32707	X	9085867	9082931	1	Anaphase Promoting Complex subunit 4	APC4
APC7	APC7	FBgn0029879	FBgn0029879	CG14444	X	6599699	6597088	1	Anaphase Promoting Complex subunit 7	APC7
APP-BP1	APP-BP1	FBgn0261112	FBgn0261112	CG7828	3L	11100578	11098412	1	beta-Amyloid precursor protein binding protein 1	APP-BP1
ASPP	ASPP	FBgn0034606	FBgn0034606	CG18375	2R	21251150	21217856	-1	Ankyrin-repeat, SH3-domain, and Proline-rich-region containing Protein	ASPP
ATP6AP2	VhaM8.9	FBgn0037671	FBgn0037671	CG8444	3R	9262590	9260638	1	ATPase H+ transporting accessory protein 2	ATP6AP2
ATP7	ATP7	FBgn0030343	FBgn0030343	CG1886	X	11864754	11855022	1	ATP7	ATP7
ATP8A	CG42321	FBgn0259221	FBgn0259221	CG42321	2R	13439051	13414978	-1	ATPase 8A	ATP8A
ATP8B	ATP8B	FBgn0037989	FBgn0037989	CG14741	3R	12090612	12068375	-1	ATPase 8B	ATP8B
ATPCL	ATPCL	FBgn0020236	FBgn0020236	CG8322	2R	16001290	15993531	-1	ATP citrate lyase	ATPCL
ATPsynB	ATPsynB	FBgn0019644	FBgn0019644	CG8189	3L	9731224	9729999	1	ATP synthase, subunit B	ATPsynB
ATPsynC	ATPsynC	FBgn0039830	FBgn0039830	CG1746	3R	31219630	31216145	-1	ATP synthase, subunit C	ATPsynC
ATPsynCF6	ATPsynCF6	FBgn0016119	FBgn0016119	CG4412	3R	23356064	23355220	-1	ATP synthase, coupling factor 6	ATPsynCF6
ATPsynCF6L	ATPsynCF6L	FBgn0035585	FBgn0035585	CG12027	3L	5012133	5011444	-1	ATP synthase, coupling factor 6-like	ATPsynCF6L
ATPsynD	ATPsynD	FBgn0016120	FBgn0016120	CG6030	3R	19096271	19095000	1	ATP synthase, subunit D	ATPsynD
ATPsynE	ATPsynE	FBgn0038224	FBgn0038224	CG3321	3R	14327735	14326947	1	ATP synthase, subunit E	ATPsynE
ATPsynF	ATPsynF	FBgn0035032	FBgn0035032	CG4692	2R	24599821	24599088	-1	ATP synthase, subunit F	ATPsynF
ATPsynG	ATPsynG	FBgn0010612	FBgn0010612	CG6105	2L	10976399	10975522	-1	ATP synthase, subunit G	ATPsynG
ATPsynO	ATPsynO	FBgn0016691	FBgn0016691	CG4307	3R	15266690	15265591	1	ATP synthase, oligomycin sensitivity conferring protein	ATPsynO
ATPsynbetaL	ATPsynbetaL	FBgn0036568	FBgn0036568	CG5389	3L	16100088	16097834	1	ATP synthase, beta subunit-like	ATPsynbetaL
ATPsyndelta	ATPsyndelta	FBgn0028342	FBgn0028342	CG2968	X	10217393	10212970	1	ATP synthase, delta subunit	ATPsyndelta
ATPsynepsilonL	ATPsynepsilonL	FBgn0051477	FBgn0051477	CG31477	3R	10122320	10121773	1	ATP synthase, epsilon subunit-like	ATPsynepsilonL
ATPsyngamma	ATPsyngamma	FBgn0020235	FBgn0020235	CG7610	3R	29749163	29747704	-1	ATP synthase, gamma subunit	ATPsyngamma
ATbp	ATbp	FBgn0039946	FBgn0039946	CG17172	X	23108331	23106003	1	(A+T)-stretch binding protein	ATbp
Aasdh	U26	FBgn0027780	FBgn0027780	CG13401	2L	8449576	8445861	-1	Aminoadipate-semialdehyde dehydrogenase	Aasdh
Aatf	Aatf	FBgn0031851	FBgn0031851	CG11188	2L	6719389	6717625	1	Apoptosis antagonizing transcription factor	Aatf
Abca3	CG1718	FBgn0031170	FBgn0031170	CG1718	X	21306665	21292308	-1	ATP binding cassette subfamily A member 3	Abca3
Abcd1	CG2316	FBgn0039890	FBgn0039890	CG2316	4	193829	184076	-1	ATP binding cassette subfamily D member 1	Abcd1
Abcd3	Pmp70	FBgn0031069	FBgn0031069	CG12703	X	19759280	19750770	1	ATP binding cassette subfamily D member 3	Abcd3
Abd-B	Abd-B	FBgn0000015	FBgn0000015	CG11648	3R	16972236	16927212	-1	Abdominal B	Abd-B
Abi	Abi	FBgn0020510	FBgn0020510	CG9749	3R	14122420	14119262	-1	Abelson interacting protein	Abi
Abl	Abl	FBgn0000017	FBgn0000017	CG4032	3L	16647882	16615866	-1	Abl tyrosine kinase	Abl
Abp1	Abp1	FBgn0036372	FBgn0036372	CG10083	3L	13486280	13483533	-1	Actin binding protein 1	Abp1
Ac13E	Ac13E	FBgn0022710	FBgn0022710	CG9210	X	15554278	15510877	-1	Adenylyl cyclase 13E	Ac13E
Ac3	Ac3	FBgn0023416	FBgn0023416	CG1506	2L	21647964	21632587	1	Adenylate cyclase 3	Ac3
Ac76E	Ac76E	FBgn0004852	FBgn0004852	CG7978	3L	19977960	19939287	1	Adenylyl cyclase 76E	Ac76E
Ac78C	Ac78C	FBgn0024150	FBgn0024150	CG10564	3L	21171930	21136447	-1	Adenylyl cyclase 78C	Ac78C
AcCoAS	AcCoAS	FBgn0012034	FBgn0012034	CG9390	3L	21280243	21270722	-1	Acetyl Coenzyme A synthase	AcCoAS
Acat2	CG9149	FBgn0035203	FBgn0035203	CG9149	3L	1304717	1302944	1	Acetyl-CoA acetyltransferase 2	Acat2
Acbp1	CG8498	FBgn0031992	FBgn0031992	CG8498	2L	8162452	8161796	-1	Acyl-CoA binding protein 1	Acbp1
Acbp2	Dbi	FBgn0010387	FBgn0010387	CG8627	3L	7133463	7131863	1	Acyl-CoA binding protein 2	Acbp2
Acbp6	CG15829	FBgn0035743	FBgn0035743	CG15829	3L	7129673	7128903	1	Acyl-CoA binding protein 6	Acbp6
Ace	Ace	FBgn0000024	FBgn0000024	CG17907	3R	13259517	13222951	-1	Acetylcholine esterase	Ace
Acer	Acer	FBgn0016122	FBgn0016122	CG10593	2L	8525740	8521933	1	Angiotensin-converting enzyme-related	Acer
Acf	Acf	FBgn0027620	FBgn0027620	CG1966	3R	31799799	31793981	1	ATP-dependent chromatin assembly factor large subunit	Acf
Achl	Achl	FBgn0033936	FBgn0033936	CG17386	2R	14424764	14420324	1	Achilles	Achl
Ack	Ack	FBgn0028484	FBgn0028484	CG14992	3L	4114157	4108186	1	Activated Cdc42 kinase	Ack
Ack-like	Ack-like	FBgn0263998	FBgn0263998	CG43741	2R	13152677	13142834	-1	Activated Cdc42 kinase-like	Ack-like
Acn	Acn	FBgn0263198	FBgn0263198	CG10473	2L	19048817	19045355	1	Acinus	Acn
Acox3	CG9527	FBgn0031813	FBgn0031813	CG9527	2L	6448403	6426724	-1	Acyl-CoA oxidase 3	Acox3
Acox57D-d	Acox57D-d	FBgn0034629	FBgn0034629	CG9709	2R	21392439	21389405	1	acyl-Coenzyme A oxidase at 57D distal	Acox57D-d
Acox57D-p	Acox57D-p	FBgn0034628	FBgn0034628	CG9707	2R	21389276	21386309	1	acyl-Coenzyme A oxidase at 57D proximal	Acox57D-p
Acp1	Acp1	FBgn0014454	FBgn0014454	CG7216	2L	7741537	7740562	-1	Adult cuticle protein 1	Acp1
Acp32CD	Acp32CD	FBgn0023415	FBgn0023415	CG4605	2L	11016571	11015620	1	Accessory gland protein 32CD	Acp32CD
Acp36DE	Acp36DE	FBgn0011559	FBgn0011559	CG7157	2L	18359028	18356047	-1	Accessory gland protein 36DE	Acp36DE
Acp53C14a	Acp53C14a	FBgn0034152	FBgn0034152	CG8626	2R	16748590	16747834	-1	Accessory gland protein 53C14a	Acp53C14a
Acp53C14b	Acp53C14b	FBgn0034153	FBgn0034153	CG15616	2R	16749460	16748815	-1	Accessory gland protein 53C14b	Acp53C14b
Acp53C14c	Acp53C14c	FBgn0053530	FBgn0053530	CG33530	2R	16751495	16750776	-1	Accessory gland protein 53C14c	Acp53C14c
Acp53Ea	Acp53Ea	FBgn0015584	FBgn0015584	CG8622	2R	16750335	16749803	-1	Accessory gland protein 53Ea	Acp53Ea
Acp54A1	Acp54A1	FBgn0083936	FBgn0083936	CG34098	2R	17133750	17133445	1	Accessory gland protein 54A1	Acp54A1
Acp63F	Acp63F	FBgn0015585	FBgn0015585	CG10852	3L	3816354	3815839	-1	Accessory gland protein 63F	Acp63F
Acp65Aa	Acp65Aa	FBgn0020765	FBgn0020765	CG10297	3L	6152745	6152050	-1	Adult cuticle protein 65Aa	Acp65Aa
Acp95EF	Acp95EF	FBgn0002863	FBgn0002863	CG17924	3R	24229279	24228975	1	Accessory gland protein 95EF	Acp95EF
Acph-1	Acph-1	FBgn0000032	FBgn0000032	CG7899	3R	29993411	29991144	-1	Acid phosphatase 1	Acph-1
Acsf2	CG12512	FBgn0031703	FBgn0031703	CG12512	2L	5342234	5339132	-1	Acyl-CoA synthetase family member 2	Acsf2
Acsf3	CG18155	FBgn0029945	FBgn0029945	CG18155	X	7331255	7329046	1	Acyl-CoA synthetase family member 3	Acsf3
Acsl	Acsl	FBgn0263120	FBgn0263120	CG8732	2R	8683022	8665813	1	Acyl-CoA synthetase long-chain	Acsl
Act42A	Act42A	FBgn0000043	FBgn0000043	CG12051	2R	6015689	6013910	-1	Actin 42A	Act42A
Act57B	Act57B	FBgn0000044	FBgn0000044	CG10067	2R	20946431	20944021	1	Actin 57B	Act57B
Act5C	Act5C	FBgn0000042	FBgn0000042	CG4027	X	5905399	5900861	1	Actin 5C	Act5C
Act79B	Act79B	FBgn0000045	FBgn0000045	CG7478	3L	21987190	21985210	1	Actin 79B	Act79B
Act87E	Act87E	FBgn0000046	FBgn0000046	CG18290	3R	13428375	13425983	1	Actin 87E	Act87E
Act88F	Act88F	FBgn0000047	FBgn0000047	CG5178	3R	15442177	15439969	1	Actin 88F	Act88F
Actbeta	Actbeta	FBgn0024913	FBgn0024913	CG11062	4	1084796	1077331	-1	Activin-beta	Actbeta
Actn	Actn	FBgn0000667	FBgn0000667	CG4376	X	2042311	2023822	-1	alpha actinin	Actn
Acyp2	Acyp2	FBgn0038363	FBgn0038363	CG18505	3R	15793487	15792688	1	Acylphosphatase 2	Acyp2
AdSL	AdSL	FBgn0038467	FBgn0038467	CG3590	3R	17021120	17018780	-1	Adenylosuccinate Lyase	AdSL
AdSS	AdSS	FBgn0027493	FBgn0027493	CG17273	3R	20830580	20824667	-1	Adenylosuccinate Synthetase	AdSS
Ada1-1	Ada1-1	FBgn0051865	FBgn0051865	CG31865	2L	11997965	11996809	1	transcriptional Adaptor 1-1	Ada1-1
Ada1-2	Ada1-2	FBgn0051866	FBgn0051866	CG31866	2L	11994054	11992902	1	transcriptional Adaptor 1-2	Ada1-2
Ada2a	Ada2a	FBgn0263738	FBgn0263738	CG43663	3R	18255487	18252843	-1	transcriptional Adaptor 2a	Ada2a
Ada2b	Ada2b	FBgn0037555	FBgn0037555	CG9638	3R	8240515	8236632	-1	transcriptional Adaptor 2b	Ada2b
Ada3	Ada3	FBgn0030891	FBgn0030891	CG7098	X	18088418	18085761	1	transcriptional Adaptor 3	Ada3
AdamTS-A	AdamTS-A	FBgn0286071	FBgn0286071	CG14869	3R	15476193	15442246	-1	ADAM metallopeptidase with thrombospondin type 1 motif A	AdamTS-A
AdamTS-B	CG4096	FBgn0029791	FBgn0029791	CG4096	X	5708633	5698557	1	ADAM metallopeptidase with thrombospondin type 1 motif B	AdamTS-B
Adar	Adar	FBgn0026086	FBgn0026086	CG12598	X	1788065	1773725	1	Adenosine deaminase acting on RNA	Adar
Adat1	Adat1	FBgn0028658	FBgn0028658	CG16889	2L	13811474	13808360	-1	Adenosine deaminase, tRNA-specific 1	Adat1
Adck1	Adck	FBgn0035039	FBgn0035039	CG3608	2R	24613906	24611703	1	aarF domain containing kinase 1	Adck1
Adck5	CG7616	FBgn0036142	FBgn0036142	CG7616	3L	11172411	11169817	1	aarF domain containing kinase 5	Adck5
Adf1	Adf1	FBgn0284249	FBgn0284249	CG15845	2R	6668085	6662265	1	Adh transcription factor 1	Adf1
Adgf-A	Adgf-A	FBgn0036752	FBgn0036752	CG5992	3L	17764158	17751731	-1	Adenosine deaminase-related growth factor A	Adgf-A
Adgf-C	Adgf-C	FBgn0038173	FBgn0038173	CG9345	3R	13709129	13706757	1	Adenosine deaminase-related growth factor C	Adgf-C
Adgf-D	Adgf-D	FBgn0038172	FBgn0038172	CG9621	3R	13705402	13703084	-1	Adenosine deaminase-related growth factor D	Adgf-D
Adh	Adh	FBgn0000055	FBgn0000055	CG3481	2L	14618902	14615552	1	Alcohol dehydrogenase	Adh
Adi1	Adi1	FBgn0052068	FBgn0052068	CG32068	3L	10664435	10663376	1	Acireductone dioxygenase 1	Adi1
AdipoR	AdipoR	FBgn0038984	FBgn0038984	CG5315	3R	22547846	22543693	-1	Adiponectin receptor	AdipoR
Adk1	CG3809	FBgn0037995	FBgn0037995	CG3809	3R	12199473	12197941	1	Adenosine kinase 1	Adk1
Adk2	AdenoK	FBgn0036337	FBgn0036337	CG11255	3L	13022688	13019715	-1	Adenosine kinase 2	Adk2
Adk3	Ady43A	FBgn0026602	FBgn0026602	CG1851	2R	7245776	7243024	-1	Adenosine kinase 3	Adk3
AdoR	AdoR	FBgn0039747	FBgn0039747	CG9753	3R	30149606	30134856	-1	Adenosine receptor	AdoR
Aduk	Aduk	FBgn0037679	FBgn0037679	CG8866	3R	9334714	9332064	-1	Another Drosophila Unc-51-like kinase	Aduk
Ae2	CG8177	FBgn0036043	FBgn0036043	CG8177	3L	9786466	9763544	1	Anion exchanger 2	Ae2
Aef1	Aef1	FBgn0005694	FBgn0005694	CG5683	3L	21438639	21433422	1	Adult enhancer factor 1	Aef1
Afg3l2	CG6512	FBgn0036702	FBgn0036702	CG6512	3L	17242128	17238613	-1	AFG3 like matrix AAA peptidase subunit 2	Afg3l2
Afti	Afti	FBgn0038223	FBgn0038223	CG8538	3R	14326689	14320191	-1	Aftiphilin	Afti
Ag5r	Ag5r	FBgn0015010	FBgn0015010	CG9538	X	14786551	14784664	-1	Antigen 5-related	Ag5r
Ag5r2	Ag5r2	FBgn0020508	FBgn0020508	CG9540	X	14784052	14782962	-1	Antigen 5-related 2	Ag5r2
AgmNAT	CG15766	FBgn0029813	FBgn0029813	CG15766	X	5815820	5814864	-1	Agmatine N-acetyltransferase	AgmNAT
Agpat1	CG3812	FBgn0030421	FBgn0030421	CG3812	X	12772851	12765266	1	1-Acylglycerol-3-phosphate O-acyltransferase 1	Agpat1
Agpat2	fu12	FBgn0026718	FBgn0026718	CG17608	2L	8463994	8449691	-1	1-Acylglycerol-3-phosphate O-acyltransferase 2	Agpat2
Agpat3	CG4729	FBgn0036623	FBgn0036623	CG4729	3L	16385957	16381772	-1	1-Acylglycerol-3-phosphate O-acyltransferase 3	Agpat3
Agpat4	CG4753	FBgn0036622	FBgn0036622	CG4753	3L	16381570	16378974	-1	1-Acylglycerol-3-phosphate O-acyltransferase 4	Agpat4
Agps	ADPS	FBgn0033983	FBgn0033983	CG10253	2R	14934861	14929703	-1	Alkylglycerone phosphate synthase	Agps
Agxt	Spat	FBgn0014031	FBgn0014031	CG3926	X	6530726	6528948	1	Alanine-glyoxylate aminotransferase	Agxt
Ahcy	Ahcy	FBgn0014455	FBgn0014455	CG11654	X	15453167	15450261	1	Adenosylhomocysteinase	Ahcy
AhcyL1	AhcyL1	FBgn0035371	FBgn0035371	CG9977	3L	2772325	2768466	-1	Adenosylhomocysteinase like 1	AhcyL1
AhcyL2	AhcyL2	FBgn0015011	FBgn0015011	CG8956	3R	16982158	16978439	-1	Adenosylhomocysteinase like 2	AhcyL2
Ak6	Ak6	FBgn0033754	FBgn0033754	CG8816	2R	12569847	12569014	-1	Adenylate kinase 6	Ak6
Akap200	Akap200	FBgn0027932	FBgn0027932	CG13388	2L	8431297	8415690	1	A kinase anchor protein 200	Akap200
Akh	Akh	FBgn0004552	FBgn0004552	CG1171	3L	4142070	4141467	1	Adipokinetic hormone	Akh
AkhR	AkhR	FBgn0025595	FBgn0025595	CG11325	2L	6716186	6711286	-1	Adipokinetic hormone receptor	AkhR
Akr1B	CG6084	FBgn0086254	FBgn0086254	CG6084	3L	11624381	11620535	-1	Aldo-keto reductase 1B	Akr1B
Akt	Akt1	FBgn0010379	FBgn0010379	CG4006	3R	16105670	16099228	1	Akt kinase	Akt
AlaRS	AlaRS	FBgn0027094	FBgn0027094	CG13391	2L	8381764	8378262	-1	Alanyl-tRNA synthetase	AlaRS
AlaRS-m	AlaRS-m	FBgn0028962	FBgn0028962	CG4633	3L	5149852	5146098	1	Alanyl-tRNA synthetase, mitochondrial	AlaRS-m
Aladin	CG16892	FBgn0030122	FBgn0030122	CG16892	X	9275653	9273413	1	Aladin	Aladin
Alas	Alas	FBgn0020764	FBgn0020764	CG3017	2R	23966757	23964772	1	Aminolevulinate synthase	Alas
Aldh	Aldh	FBgn0012036	FBgn0012036	CG3752	2L	9391567	9387389	1	Aldehyde dehydrogenase	Aldh
Aldh-III	Aldh-III	FBgn0010548	FBgn0010548	CG11140	2R	7477162	7466879	-1	Aldehyde dehydrogenase type III	Aldh-III
Aldh7A1	CG9629	FBgn0036857	FBgn0036857	CG9629	3L	19268913	19266473	-1	Aldehyde dehydrogenase 7 family member A1	Aldh7A1
Alg-2	Alg-2	FBgn0086378	FBgn0086378	CG40410	3R	3627690	3623143	1	Apoptosis-linked gene-2	Alg-2
Alg1	CG18012	FBgn0038552	FBgn0038552	CG18012	3R	17811134	17809401	-1	ALG1, chitobiosyldiphosphodolichol beta-mannosyltransferase	Alg1
Alg10	Alg10	FBgn0052076	FBgn0052076	CG32076	3L	11166620	11164971	1	ALG10 alpha-1,2-glucosyltransferase	Alg10
Alg11	CG11306	FBgn0037108	FBgn0037108	CG11306	3L	21628571	21625806	1	ALG11, alpha-1,2-mannosyltransferase	Alg11
Alg12	CG8412	FBgn0037743	FBgn0037743	CG8412	3R	9759313	9756491	1	Alg12 alpha-1,6-mannosyltransferase	Alg12
Alg13	CG14512	FBgn0039639	FBgn0039639	CG14512	3R	29138573	29137970	-1	Alg13 UDP-N-acetylglucosaminyltransferase subunit	Alg13
Alg14	CG6308	FBgn0030645	FBgn0030645	CG6308	X	15472859	15472164	1	ALG14, UDP-N-acetylglucosaminyltransferase subunit	Alg14
Alg2	CG1291	FBgn0035401	FBgn0035401	CG1291	3L	3145284	3143808	1	ALG2, alpha-1,3/1,6-mannosyltransferase	Alg2
Alg3	l(2)not	FBgn0011297	FBgn0011297	CG4084	2R	23709792	23705439	-1	ALG3, alpha-1,3- mannosyltransferase	Alg3
Alg7	CG5287	FBgn0032477	FBgn0032477	CG5287	2L	13183495	13179247	1	Alg7 dolichyl-phosphate N-acetylglucosaminephosphotransferase	Alg7
Alg9	CG11851	FBgn0039293	FBgn0039293	CG11851	3R	25224118	25221589	1	ALG9, alpha-1,2-mannosyltransferase	Alg9
